iso3_code,connectivity_govt,school_id_giga,num_students,num_classrooms,connectivity,school_id_govt,school_name,latitude,longitude,education_level,connectivity_type_govt,admin1,admin1_id_giga,admin2,admin2_id_giga,num_computers,num_teachers,source_lat_lon,country,unicef_region,itu_region,continent
BIH,No,66ac5c3d-3b67-3502-b1c4-82325a8a0e25,23,2,No,H-5-A-96,"Osnovna škola ""Lipanjske zore"" Višići",43.138427734375,17.77775001525880,Primary,Ne postoji aktivna internet veza,Federacija Bosne i Hercegovine,BIH002,Hercegovačko-Neretvanski,BIH002007,0,4,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,66c32b38-873c-3948-881b-16ed6735333e,26,2,No,E-6-A-105,"JU OŠ ""Ćamil Sijarić"" Nemila - PŠ Kolići",44.36198806762700,17.891050338745100,Primary,Ne postoji aktivna internet veza,Federacija Bosne i Hercegovine,BIH002,Zeničko-Dobojski,BIH002004,0,2,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,66c72396-2807-3b1d-ad5b-15f1c905a333,69,9,Yes,L-18-B-169,"ЈУ ОШ "" ПЕТАР КОЧИЋ"" ИМЉАНИ",44.40177536010740,17.488821029663100,Primary,Друго (молимо наведите),Republika Srpska,BIH001,Banja Luka,BIH001001,16,22,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,66ce4ecd-fe30-3c4e-aee1-26775c5098c1,9,2,No,L-25-A-692,"Јавна установа основна школа ""Сутјеска"" Модрича ПО Крчевљани",44.82868957519530,18.275230407714800,Primary,Не постоји активна интернет веза,Republika Srpska,BIH001,Doboj,BIH001003,0,2,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,66d8e623-f025-34f6-9e48-0e62e6385fa5,252,13,Yes,E-10-F-73,"JU Medresa ""Osman-ef. Redžović"" u Velikom Čajnu, Visoko",44.02510070800780,18.210634231567400,Other,Kablovski internet,Federacija Bosne i Hercegovine,BIH002,Zeničko-Dobojski,BIH002004,17,27,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,6704ef0c-975e-3890-b449-8e8a50162777,17,2,No,G-5-A-22,"JU Osnovna škola ""Gračanica",44.0014533996582,17.490230560302700,Primary,Ne postoji aktivna internet veza,Federacija Bosne i Hercegovine,BIH002,Srednjobosanski,BIH002006,0,3,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6763b937-ee30-3147-a323-abad54bd4415,342,18,Yes,L-43-I-590,"ЈУ СШЦ ""Василије Острошки"" Соколац",43.93434524536130,18.801767349243200,Secondary,Друго (молимо наведите),Republika Srpska,BIH001,Sokolac,BIH001005,39,38,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6772d50e-baaa-3e7e-839f-1b357a5b7777,320,14,Yes,L-62-B-245,"ЈУ Основна Школа ""Свети Сава ",43.165287017822300,18.533580780029300,Primary,Фибер-оптички интернет,Republika Srpska,BIH001,Trebinje,BIH001006,140,36,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,67e0b814-7edd-33cd-b03d-0ad446b973bc,44,16,Yes,L-22-H-457,"Ј.У Центар за дјецу и омладину са сметњама у развоју ""Будућност",44.968631744384800,17.911697387695300,Other,Фибер-оптички интернет,Republika Srpska,BIH001,Doboj,BIH001003,20,19,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,68299d05-1fac-3c49-939d-525c38a4ac90,521,17,Yes,L-25-B-732,"Јавна установа основна школа ""Сутјеска"" Модрича",44.94292068481450,18.30363655090330,Primary,(A)DSL интернет,Republika Srpska,BIH001,Doboj,BIH001003,22,46,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
